<, 1>
<thing, 7>
<soothing, 1>
<eloquent, 1>
<unspoken, 1>
<sympathy, 1>
<silence, 1>
<solace, 1>
<affection, 1>
<administers, 1>
<sorrow, 1>
<Soon, 2>
<dried, 2>
<grateful, 1>
<Thank, 1>
<Teddy, 5>
<Keep, 3>
<hoping, 4>
<then, 10>
<glad, 4>
<leaving, 1>
<heap, 1>
<heaviest, 1>
<part, 2>
<shoulders, 1>
<sighed, 2>
<spreading, 1>
<wet, 2>
<handkerchief, 2>
<knees, 1>
<dry, 1>
<Doesn, 1>
<pull, 2>
<fair, 1>
<indignant, 1>
<yes, 2>
<tries, 1>
<Bethy, 1>
<conscience, 1>
<Down, 1>
<went, 10>
<despairingly, 1>
<bravely, 2>
<shed, 1>
<tear, 3>
<drew, 1>
<across, 1>
<subdued, 1>
<choky, 1>
<steadied, 1>
<unmanly, 1>
<couldn, 4>
<am, 3>
<sobs, 1>
<quieted, 1>
<hopefully, 1>
<believe, 2>
<groaned, 1>
<stopped, 3>
<cheered, 1>
<spite, 4>
<doubts, 1>
<fears, 2>
<Poor, 1>
<re, 3>
<worn, 5>
<Stop, 1>
<bit, 4>
<hearten, 1>
<jiffy, 1>
<two, 6>
<stairs, 2>
<wearied, 1>
<brown, 1>
<hood, 1>
<moving, 1>
<table, 3>
<possessed, 2>
<some, 9>
<magic, 1>
<submissive, 1>
<spirit, 1>
<gentle, 2>
<owner, 1>
<enter, 1>
<glass, 3>
<wine, 4>
<drink, 1>
<Health, 1>
<ever, 7>
<pay, 1>
<refreshed, 1>
<body, 1>
<kind, 3>
<bill, 1>
<tonight, 2>
<cockles, 1>
<quarts, 1>
<beaming, 1>
<suppressed, 1>
<satisfaction, 2>
<forgetting, 1>
<woes, 1>
<wonder, 2>
<telegraphed, 1>
<yesterday, 2>
<Brooke, 4>
<Aren, 1>
<spoke, 4>
<turned, 3>
<red, 3>
<excited, 2>
<plot, 1>
<secret, 2>
<fear, 2>
<disappointing, 1>
<harming, 1>
<white, 2>
<flew, 1>
<moment, 1>
<electrified, 1>
<arms, 3>
<round, 3>
<neck, 4>
<joyful, 2>
<weep, 2>
<hysterically, 1>
<trembled, 1>
<clung, 2>
<bewildered, 1>
<sudden, 1>
<news, 2>
<amazed, 1>
<behaved, 4>
<presence, 1>
<patted, 1>
<soothingly, 1>
<finding, 3>
<recovering, 1>
<followed, 1>
<bashful, 1>
<kiss, 2>
<Holding, 1>
<banisters, 1>
<breathlessly, 1>
<didn, 4>
<mean, 4>
<dreadful, 6>
<flying, 1>
<Tell, 1>
<act, 1>
<tie, 1>
<Why, 1>
<Grandpa, 2>
<overdoing, 1>
<authority, 1>
<business, 1>
<forgive, 3>
<happened, 3>
<So, 5>
<grandpa, 2>
<high, 2>
<pelted, 1>
<office, 1>
<proposed, 1>
<lorded, 1>
<Your, 1>
<train, 2>
<M, 1>
<bottle, 1>
<rapture, 2>
<blessed, 2>
<gets, 2>
<angel, 1>
<thank, 2>
<Fly, 1>
<mischievous, 2>
<fortnight, 1>
<proxy, 1>
<tease, 1>
<rest, 6>
<half, 4>
<bless, 2>
<backed, 1>
<corner, 4>
<finished, 1>
<vanished, 1>
<precipitately, 1>
<kitchen, 1>
<upon, 3>
<dresser, 1>
<assembled, 1>
<oh, 1>
<neat, 1>
<interferingest, 1>
<chap, 1>
<hope, 6>
<relief, 1>
<brooded, 1>
<sickroom, 1>
<order, 1>
<knocked, 1>
<couple, 1>
<pies, 1>
<case, 1>
<company, 3>
<unexpected, 1>
<breath, 2>
<fresh, 1>
<blow, 1>
<through, 5>
<sunshine, 1>
<brightened, 1>
<rooms, 2>
<Everything, 1>
<appeared, 2>
<hopeful, 2>
<change, 6>
<chirp, 1>
<blown, 1>
<rose, 4>
<discovered, 1>
<bush, 1>
<fires, 1>
<burn, 1>
<unusual, 2>
<cheeriness, 1>
<met, 1>
<broke, 2>
<smiles, 2>
<hugged, 1>
<encouragingly, 1>
<Every, 1>
<rejoiced, 1>
<stupor, 1>
<alike, 1>
<unconscious, 1>
<joy, 2>
<piteous, 1>
<sight, 4>
<rosy, 1>
<changed, 1>
<vacant, 1>
<weak, 2>
<wasted, 1>
<smiling, 5>
<dumb, 1>
<pretty, 5>
<scattered, 1>
<rough, 1>
<tangled, 1>
<pillow, 1>
<All, 2>
<rousing, 1>
<mutter, 1>
<Water, 1>
<parched, 1>
<hardly, 2>
<shape, 2>
<waiting, 1>
<trusting, 1>
<raged, 1>
<dragged, 1>
<clock, 2>
<struck, 2>
<still, 5>
<either, 1>
<each, 4>
<other, 3>
<brightening, 1>
<probably, 2>
<midnight, 1>
<return, 2>
<foot, 1>
<asleep, 5>
<marched, 2>
<rebel, 1>
<battery, 1>
<countenance, 2>
<entered, 1>
<rug, 1>
<pretending, 1>
<staring, 2>
<fire, 1>
<thoughtful, 1>
<black, 2>
<beautifully, 2>
<soft, 3>
<clear, 1>
<forgot, 5>
<watch, 3>
<sense, 2>
<powerlessness, 1>
<spares, 2>
<complain, 1>
<whispered, 4>
<earnestly, 1>
<serve, 1>
<equal, 1>
<fervor, 1>
<aches, 1>
<pause, 2>
<despondently, 1>
<Here, 1>
<twelve, 1>
<themselves, 1>
<fancied, 1>
<passed, 2>
<wan, 1>
<wailing, 1>
<hush, 1>
<Weary, 1>
<slept, 4>
<saw, 4>
<fall, 2>
<An, 1>
<except, 2>
<departure, 1>
<station, 1>
<Another, 1>
<delay, 1>
<accidents, 1>
<worst, 2>
<past, 1>
<thinking, 2>
<dreary, 1>
<winding, 1>
<sheet, 1>
<heard, 2>
<movement, 1>
<turning, 2>
<kneeling, 1>
<easy, 2>
<hidden, 1>
<coldly, 1>
<dead, 3>
<post, 1>
<instant, 1>
<taken, 2>
<flush, 1>
<peaceful, 1>
<repose, 1>
<desire, 1>
<lament, 1>
<Leaning, 1>
<dearest, 1>
<kissed, 3>
<damp, 2>
<forehead, 1>
<awaked, 1>
<stir, 1>
<started, 1>
<hurried, 1>
<listened, 3>
<apron, 3>
<rock, 1>
<exclaiming, 1>
<under, 5>
<sleepin, 1>
<nat, 1>
<ral, 1>
<skin, 1>
<breathes, 1>
<Praise, 1>
<given, 5>
<goodness, 1>
<confirm, 1>
<homely, 1>
<man, 3>
<heavenly, 1>
<smiled, 2>
<fatherly, 2>
<dears, 1>
<let, 4>
<wakes, 2>
<neither, 1>
<crept, 1>
<close, 2>
<rejoicing, 1>
<too, 8>
<cuddled, 1>
<faithful, 1>
<found, 4>
<cheek, 1>
<pillowed, 1>
<pallor, 1>
<breathing, 1>
<quietly, 1>
<fallen, 1>
<winter, 1>
<wane, 1>
<opened, 1>
<tomorrow, 1>
<blossomed, 1>
<vase, 2>
<darling, 1>
<sees, 1>
<sun, 2>
<risen, 1>
<lovely, 3>
<early, 1>
<vigil, 1>
<fairy, 1>
<behind, 2>
<curtain, 1>
<dazzling, 1>
<Hark, 1>
<starting, 2>
<feet, 2>
<bells, 1>
<door, 3>
<below, 1>
<whisper, 2>
<Girls, 1>
<NINETEEN, 1>
<AMY, 1>
<S, 1>
<WILL, 2>
<While, 1>
<happening, 1>
<having, 3>
<deeply, 1>
<realized, 2>
<petted, 2>
<approve, 1>
<meant, 2>
<pleased, 1>
<nephew, 1>
<children, 3>
<confess, 1>
<mistakes, 1>
<Some, 1>
<wrinkles, 1>
<gray, 1>
<hairs, 1>
<sympathize, 1>
<cares, 2>
<joys, 1>
<hide, 1>
<wise, 1>
<plays, 1>
<receiving, 2>
<friendship, 1>
<sweetest, 1>
<gift, 1>
<rules, 1>
<orders, 2>
<prim, 1>
<ways, 1>
<prosy, 1>
<talks, 2>
<Finding, 1>
<docile, 1>
<amiable, 1>
<duty, 1>
<counteract, 1>
<effects, 1>
<freedom, 1>
<indulgence, 1>
<taught, 3>
<sixty, 1>
<years, 3>
<ago, 2>
<process, 1>
<carried, 1>
<dismay, 1>
<soul, 1>
<web, 1>
<strict, 1>
<spider, 4>
<wash, 1>
<cups, 1>
<polish, 1>
<fashioned, 2>
<spoons, 1>
<fat, 3>
<silver, 2>
<teapot, 1>
<glasses, 1>
<shone, 1>
<dust, 1>
<job, 1>
<Not, 1>
<speck, 1>
<escaped, 1>
<eye, 2>
<furniture, 1>
<claw, 1>
<legs, 2>
<carving, 1>
<dusted, 1>
<suit, 2>
<fed, 2>
<lap, 2>
<dog, 2>
<combed, 1>
<trips, 1>
<upstairs, 3>
<deliver, 1>
<lame, 1>
<seldom, 1>
<big, 8>
<After, 3>
<tiresome, 1>
<labors, 1>
<daily, 1>
<trial, 2>
<virtue, 1>
<enjoy, 2>
<wheedled, 1>
<rode, 1>
<dinner, 1>
<aloud, 1>
<sit, 3>
<usually, 2>
<page, 1>
<patchwork, 2>
<towels, 1>
<sewed, 1>
<outward, 1>
<meekness, 1>
<inward, 1>
<rebellion, 1>
<dusk, 1>
<amuse, 2>
<teatime, 1>
<evenings, 1>
<telling, 1>
<stories, 2>
<youth, 1>
<unutterably, 1>
<intending, 1>
<fate, 1>
<squeezed, 1>
<Esther, 12>
<maid, 1>
<enough, 1>
<drive, 1>
<distracted, 1>
<admire, 1>
<revenged, 1>
<being, 7>
<whenever, 1>
<near, 2>
<upset, 1>
<bread, 1>
<milk, 1>
<plague, 1>
<newly, 1>
<cleaned, 1>
<cage, 2>
<Mop, 1>
<bark, 1>
<pecking, 2>
<Madam, 1>
<dozed, 1>
<respects, 1>
<reprehensible, 1>
<endure, 1>
<beast, 1>
<snarled, 1>
<yelped, 1>
<toilet, 1>
<idiotic, 2>
<wanted, 6>
<eat, 1>
<cook, 1>
<tempered, 1>
<coachman, 1>
<deaf, 1>
<notice, 1>
<Frenchwoman, 2>
<lived, 1>
<Madame, 8>
<mistress, 2>
<tyrannized, 1>
<Her, 1>
<name, 3>
<Estelle, 2>
<obeyed, 1>
<condition, 1>
<religion, 1>
<Mademoiselle, 3>
<amused, 2>
<odd, 2>
<France, 1>
<laces, 1>
<also, 6>
<roam, 1>
<examine, 2>
<curious, 2>
<stored, 1>
<wardrobes, 1>
<ancient, 1>
<chests, 1>
<hoarded, 1>
<magpie, 1>
<chief, 1>
<delight, 1>
<Indian, 1>
<cabinet, 1>
<queer, 2>
<drawers, 1>
<pigeonholes, 1>
<places, 1>
<ornaments, 3>
<merely, 2>
<less, 1>
<antique, 1>
<To, 13>
<arrange, 3>
<gave, 5>
<especially, 2>
<jewel, 3>
<cases, 2>
<velvet, 1>
<reposed, 1>
<adorned, 1>
<belle, 1>
<forty, 1>
<garnet, 1>
<wore, 3>
<pearls, 2>
<wedding, 2>
<lover, 1>
<diamonds, 3>
<jet, 1>
<mourning, 1>
<rings, 2>
<pins, 1>
<lockets, 1>
<portraits, 1>
<weeping, 1>
<willows, 1>
<inside, 1>
<bracelets, 1>
<daughter, 2>
<Uncle, 1>
<seal, 3>
<childish, 1>
<played, 1>
<box, 3>
<itself, 1>
<ring, 10>
<small, 1>
<finger, 2>
<carefully, 2>
<choose, 2>
<lock, 1>
<valuables, 1>
<necklace, 2>
<fond, 3>
<necklaces, 1>
<admiration, 1>
<string, 2>
<gold, 2>
<ebony, 1>
<beads, 3>
<hung, 2>
<same, 1>
<covet, 1>
<Ah, 1>
<rosary, 5>
<use, 4>
<catholic, 1>
<eyeing, 1>
<handsome, 2>
<wistfully, 1>
<smelling, 1>
<wooden, 1>
<hanging, 1>
<Truly, 1>
<pray, 3>
<pleasing, 1>
<saints, 1>
<fine, 2>
<wearing, 1>
<bijou, 1>
<comfort, 4>
<prayers, 2>
<satisfied, 4>
<Catholic, 1>
<true, 1>
<apart, 1>
<meditate, 1>
<whom, 2>
<served, 1>
<chapel, 4>
<solacement, 1>
<Would, 1>
<loneliness, 1>
<apt, 2>
<book, 2>
<remind, 5>
<charming, 2>
<gladly, 2>
<dressing, 1>
<Say, 1>
<sleeps, 2>
<thoughts, 5>
<preserve, 2>
<pious, 1>
<sincere, 4>
<advice, 1>
<affectionate, 1>
<idea, 1>
<light, 1>
<closet, 4>
<next, 1>
<dies, 1>
<replaced, 1>
<shining, 1>
<shut, 3>
<confides, 1>
<witnessed, 1>
<nice, 2>
<Procrastination, 1>
<agreeable, 1>
<ladies, 1>
<wear, 4>
<affianced, 1>
<turquoise, 4>
<approves, 1>
<behavior, 1>
<manners, 1>
<lamb, 1>
<prettier, 1>
<Kitty, 2>
<Bryant, 2>
<tried, 3>
<blue, 5>
<delighted, 2>
<firm, 1>
<resolve, 1>
<earn, 2>
<From, 1>
<model, 2>
<obedience, 1>
<complacently, 1>
<admired, 1>
<success, 1>
<training, 1>
<fitted, 1>
<placed, 1>
<footstool, 1>
<picture, 3>
<appropriate, 1>
<borrowed, 1>
<knowing, 1>
<nor, 2>
<however, 1>
<valuable, 2>
<copy, 2>
<famous, 1>
<pictures, 2>
<tired, 1>
<testament, 1>
<hymnbook, 1>
<flowers, 1>
<praying, 1>
<doubtful, 1>
<fitness, 1>
<Protestant, 1>
<outside, 1>
<safe, 4>
<nest, 1>
<sorely, 1>
<instinctively, 1>
<strong, 2>
<Friend, 1>
<whose, 1>
<closely, 1>
<surrounds, 1>
<His, 1>
<understand, 1>
<rule, 1>
<walk, 4>
<confidingly, 1>
<pilgrim, 1>
<burden, 1>
<doing, 3>
<praised, 1>
<In, 3>
<effort, 1>
<decided, 1>
<possessions, 1>
<justly, 1>
<generously, 1>
<divided, 1>
<cost, 1>
<pang, 1>
<treasures, 1>
<jewels, 1>
<During, 1>
<important, 1>
<document, 2>
<certain, 1>
<legal, 2>
<terms, 1>
<natured, 1>
<signed, 1>
<second, 1>
<witness, 1>
<rainy, 1>
<large, 1>
<chambers, 1>
<wardrobe, 2>
<costumes, 1>
<favorite, 2>
<amusement, 1>
<array, 1>
<faded, 1>
<brocades, 1>
<parade, 1>
<mirror, 1>
<making, 1>
<stately, 1>
<curtsies, 1>
<sweeping, 1>
<rustle, 1>
<peeping, 1>
<gravely, 4>
<promenaded, 1>
<flirting, 1>
<fan, 2>
<pink, 2>
<turban, 1>
<contrasting, 1>
<oddly, 1>
<brocade, 1>
<dress, 1>
<yellow, 1>
<quilted, 1>
<petticoat, 1>
<obliged, 1>
<heeled, 1>
<shoes, 1>
<afterward, 1>
<comical, 1>
<mince, 1>
<gay, 2>
<sidling, 1>
<bridling, 1>
<imitating, 1>
<occasionally, 1>
<stopping, 1>
