<swim, 1>
<duck, 1>
<paddled, 1>
<round, 3>
<guarded, 1>
<stout, 1>
<fellows, 2>
<heads, 4>
<together, 6>
<cracked, 1>
<couple, 2>
<nuts, 1>
<trifling, 1>
<exertion, 1>
<prodigious, 1>
<strength, 2>
<smashed, 1>
<pair, 3>
<stone, 1>
<steps, 2>
<covered, 3>
<dust, 1>
<foot, 1>
<thick, 3>
<toads, 1>
<fist, 1>
<frighten, 1>
<hysterics, 1>
<top, 1>
<plump, 1>
<sight, 4>
<took, 7>
<breath, 2>
<chilled, 1>
<blood, 2>
<tall, 1>
<figure, 3>
<veil, 2>
<its, 5>
<lamp, 2>
<wasted, 1>
<beckoned, 2>
<gliding, 1>
<noiselessly, 2>
<before, 10>
<corridor, 1>
<dark, 1>
<cold, 1>
<tomb, 1>
<Shadowy, 1>
<effigies, 1>
<armor, 1>
<stood, 4>
<either, 2>
<silence, 2>
<reigned, 1>
<burned, 1>
<blue, 3>
<ghostly, 1>
<ever, 8>
<anon, 1>
<toward, 1>
<showing, 3>
<glitter, 1>
<awful, 1>
<They, 2>
<reached, 3>
<curtained, 1>
<behind, 6>
<sounded, 2>
<music, 4>
<sprang, 1>
<forward, 1>
<specter, 1>
<plucked, 1>
<back, 7>
<waved, 3>
<threateningly, 1>
<Snuffbox, 1>
<sepulchral, 1>
<tone, 6>
<convulsed, 1>
<audience, 1>
<Thankee, 1>
<politely, 1>
<pinch, 1>
<sneezed, 1>
<seven, 2>
<violently, 1>
<head, 3>
<off, 4>
<Ha, 2>
<ghost, 1>
<keyhole, 1>
<spinning, 1>
<dear, 7>
<life, 3>
<evil, 1>
<spirit, 3>
<picked, 2>
<victim, 1>
<put, 9>
<large, 2>
<tin, 3>
<where, 9>
<eleven, 1>
<knights, 3>
<packed, 2>
<sardines, 1>
<rose, 6>
<Dance, 1>
<hornpipe, 1>
<cut, 1>
<paused, 3>
<danced, 1>
<rubbishy, 1>
<man, 8>
<war, 2>
<full, 4>
<sail, 3>
<Up, 1>
<jib, 2>
<reef, 1>
<tops, 2>
<l, 1>
<halliards, 1>
<helm, 1>
<alee, 1>
<guns, 1>
<roared, 1>
<captain, 4>
<Portuguese, 2>
<pirate, 2>
<hove, 1>
<flag, 1>
<ink, 2>
<flying, 2>
<foremast, 1>
<win, 1>
<hearties, 1>
<says, 3>
<tremendous, 1>
<fight, 3>
<Of, 4>
<course, 6>
<British, 2>
<always, 8>
<No, 5>
<Having, 2>
<taken, 2>
<prisoner, 1>
<sailed, 1>
<slap, 1>
<schooner, 1>
<whose, 5>
<decks, 1>
<piled, 3>
<high, 7>
<lee, 1>
<scuppers, 1>
<ran, 5>
<order, 1>
<Cutlasses, 1>
<die, 2>
<Bosun, 1>
<mate, 1>
<bight, 1>
<sheet, 1>
<doesn, 3>
<confess, 1>
<sins, 1>
<double, 2>
<quick, 3>
<held, 2>
<brick, 1>
<walked, 5>
<plank, 1>
<jolly, 1>
<tars, 1>
<cheered, 1>
<mad, 2>
<But, 5>
<sly, 1>
<dived, 2>
<scuttled, 1>
<set, 6>
<To, 1>
<bottom, 3>
<sea, 3>
<gracious, 1>
<ended, 1>
<rigmarole, 1>
<jumbled, 1>
<pell, 1>
<mell, 1>
<nautical, 1>
<phrases, 1>
<facts, 1>
<favorite, 4>
<books, 7>
<Well, 9>
<mermaid, 2>
<welcomed, 1>
<grieved, 1>
<finding, 1>
<headless, 1>
<kindly, 2>
<pickled, 1>
<brine, 1>
<hoping, 2>
<discover, 1>
<mystery, 1>
<woman, 4>
<curious, 1>
<diver, 2>
<give, 6>
<pearls, 2>
<wanted, 3>
<restore, 1>
<things, 4>
<couldn, 3>
<raise, 1>
<heavy, 1>
<load, 1>
<herself, 7>
<hoisted, 1>
<disappointed, 2>
<opening, 3>
<find, 6>
<left, 7>
<lonely, 2>
<field, 3>
<Little, 1>
<goose, 1>
<girl, 6>
<hundred, 2>
<fat, 1>
<geese, 4>
<Amy, 14>
<invention, 1>
<sorry, 5>
<Your, 3>
<use, 3>
<since, 1>
<lost, 1>
<opened, 4>
<mouths, 1>
<screamed, 1>
<Cabbages, 1>
<promptly, 1>
<Just, 2>
<thing, 2>
<twelve, 1>
<garden, 5>
<revived, 1>
<once, 8>
<thanked, 1>
<rejoicing, 1>
<knowing, 1>
<difference, 1>
<whom, 2>
<interested, 1>
<pretty, 6>
<married, 1>
<state, 1>
<mind, 4>
<mounting, 1>
<thin, 1>
<Peeping, 2>
<hedge, 3>
<queen, 2>
<affections, 1>
<picking, 1>
<flowers, 1>
<Will, 1>
<You, 22>
<must, 5>
<come, 13>
<isn, 3>
<proper, 2>
<honey, 1>
<tried, 6>
<climb, 4>
<grow, 4>
