<worm, 1>
<injured, 3>
<damsel, 1>
<aloof, 1>
<harden, 1>
<succeeding, 1>
<primming, 1>
<expression, 5>
<disapprobation, 1>
<twice, 1>
<showed, 1>
<sign, 1>
<relenting, 2>
<others, 3>
<low, 2>
<bow, 1>
<walked, 3>
<As, 5>
<wished, 4>
<forgiving, 1>
<upstairs, 2>
<longed, 4>
<After, 3>
<resisting, 1>
<yielded, 1>
<impulse, 2>
<armed, 1>
<book, 3>
<big, 3>
<Is, 3>
<housemaid, 1>
<downstairs, 1>
<Miss, 2>
<seeable, 1>
<ill, 1>
<La, 1>
<scene, 1>
<tantrums, 1>
<something, 11>
<vexes, 1>
<gentleman, 10>
<dursn, 1>
<nigh, 1>
<Where, 2>
<Shut, 1>
<tapping, 1>
<become, 1>
<dinner, 5>
<Up, 1>
<knocked, 2>
<smartly, 1>
<open, 3>
<threatening, 1>
<immediately, 1>
<flew, 2>
<bounced, 1>
<recover, 2>
<really, 3>
<contrite, 1>
<artistically, 1>
<meekly, 1>
<came, 8>
<Get, 1>
<goose, 2>
<cavalier, 1>
<reply, 3>
<petition, 1>
<Thank, 2>
<Could, 1>
<exactly, 1>
<easy, 2>
<shaken, 1>
<bear, 4>
<growled, 1>
<indignantly, 1>
<Who, 2>
<demanded, 1>
<Grandfather, 1>
<else, 3>
<youth, 2>
<sentence, 1>
<energetic, 1>
<arm, 3>
<often, 3>
<shake, 5>
<soothingly, 1>
<Pooh, 1>
<re, 3>
<allow, 1>
<thundercloud, 1>
<treated, 2>
<Just, 2>
<promised, 3>
<course, 3>
<wasn, 3>
<Couldn, 1>
<satisfy, 1>
<grandpa, 2>
<other, 8>
<No, 4>
<bringing, 2>
<couldn, 9>
<tongue, 4>
<bore, 1>
<collared, 1>
<bolted, 2>
<forget, 2>
<myself, 4>
<Hanged, 1>
<pummelled, 1>
<everyone, 3>
<bit, 4>
<frolic, 1>
<begged, 1>
<ought, 4>
<trust, 1>
<act, 1>
<baby, 1>
<use, 3>
<able, 2>
<apron, 1>
<string, 1>
<pepper, 1>
<pots, 1>
<affair, 1>
<fuss, 1>
<pass, 1>
<stay, 3>
<melodramatic, 2>
<intend, 1>
<anyway, 1>
<slip, 3>
<journey, 2>
<somewhere, 1>
<Grandpa, 1>
<misses, 1>
<round, 8>
<worry, 1>
<preach, 1>
<Washington, 3>
<gay, 1>
<troubles, 2>
<run, 7>
<forgetting, 2>
<mentor, 1>
<lively, 2>
<visions, 1>
<martial, 1>
<capital, 2>
<stir, 1>
<glorious, 1>
<leave, 3>
<trot, 1>
<harm, 1>
<For, 3>
<moment, 2>
<suited, 1>
<tired, 2>
<thoughts, 1>
<blended, 1>
<temptingly, 1>
<novel, 2>
<charms, 1>
<camps, 1>
<hospitals, 1>
<liberty, 1>
<Her, 3>
<wistfully, 2>
<toward, 3>
<window, 3>
<opposite, 2>
<head, 8>
<sorrowful, 1>
<decision, 1>
<miserable, 1>
<tempt, 1>
<crazy, 1>
<willful, 1>
<fit, 2>
<possessed, 2>
<bounds, 1>
<Hold, 1>
<covering, 1>
<ears, 2>
<Prunes, 1>
<prisms, 1>
<doom, 1>
<may, 3>
<moralize, 1>
<hear, 3>
<skip, 1>
<wet, 1>
<blanket, 1>
<proposal, 1>
<spirit, 1>
<insinuatingly, 1>
<Bad, 1>
<Sit, 1>
<making, 2>
<apologize, 1>
<shaking, 3>
<seriously, 1>
<outraged, 1>
<dignity, 4>
<appeased, 1>
<muttered, 1>
<leaving, 2>
<bent, 2>
<railroad, 1>
<map, 1>
<propped, 2>
<gruff, 1>
<sounded, 3>
<gruffer, 1>
<tapped, 1>
<Sir, 5>
<blandly, 1>
<entered, 1>
<Want, 1>
<grim, 2>
<vexed, 1>
<please, 4>
<Sam, 1>
<second, 2>
<volume, 1>
<returned, 1>
<hoping, 2>
<propitiate, 1>
<accepting, 1>
<dose, 1>
<Boswell, 1>
<Johnson, 1>
<recommended, 1>
<shaggy, 1>
<eyebrows, 2>
<unbent, 1>
<rolled, 1>
<steps, 2>
<shelf, 1>
<Johnsonian, 1>
<literature, 1>
<placed, 1>
<skipped, 1>
<top, 2>
<searching, 1>
<wondering, 2>
<introduce, 1>
<dangerous, 1>
<object, 1>
<visit, 1>
<suspect, 1>
<brewing, 1>
<taking, 4>
<several, 3>
<brisk, 1>
<turns, 1>
<faced, 1>
<speaking, 1>
<abruptly, 2>
<Rasselas, 1>
<tumbled, 2>
<downward, 1>
<floor, 1>
<shield, 2>
<acted, 1>
<locked, 2>
<reluctantly, 1>
<shelter, 1>
<behind, 3>
<promise, 1>
<softhearted, 1>
<amiss, 1>
<confess, 1>
<punished, 2>
<Out, 2>
<dark, 2>
<alarming, 1>
<sharply, 1>
<gladly, 1>
<perched, 1>
<aloft, 1>
<foot, 1>
<lion, 1>
<path, 1>
<brave, 1>
<Indeed, 1>
<cannot, 2>
<forbade, 1>
<confessed, 2>
<someone, 2>
<interfere, 1>
<partly, 1>
<fault, 1>
<So, 5>
<talk, 4>
<Rambler, 2>
<pleasant, 4>
<Hang, 1>
<harum, 1>
<scarum, 1>
<hasn, 1>
<ungrateful, 1>
<impertinent, 1>
<thrash, 1>
<threat, 1>
<awful, 1>
<alarm, 1>
<irascible, 1>
<lift, 2>
<finger, 1>
<grandson, 2>
<whatever, 1>
<contrary, 1>
<obediently, 1>
<descended, 1>
<light, 2>
<prank, 2>
<betraying, 1>
<Hum, 2>
<ha, 1>
<obstinacy, 1>
<stubborn, 1>
<fellow, 3>
<rubbing, 1>
<hair, 5>
<gale, 1>
<smoothing, 2>
<brow, 1>
<govern, 1>
<king, 2>
<men, 2>
<hey, 1>
<sharp, 2>
<sometimes, 2>
<trifle, 3>
<hasty, 1>
<tries, 2>
<patience, 4>
<determined, 1>
<placid, 1>
<quaked, 1>
<bold, 1>
<speech, 5>
<spectacles, 2>
<onto, 1>
<table, 3>
<rattle, 1>
<exclaimed, 1>
<frankly, 1>
<past, 3>
<bearing, 2>
<warn, 1>
<restraint, 1>
<hoped, 1>
<forebearing, 1>
<ruddy, 1>
<changed, 1>
<suddenly, 3>
<glance, 2>
<picture, 1>
<handsome, 1>
<hung, 2>
<imperious, 1>
<fancied, 1>
<regretted, 1>
<unless, 1>
<threatens, 1>
<gets, 1>
<studying, 1>
<especially, 2>
<since, 2>
<cut, 1>
<miss, 2>
<advertise, 1>
<among, 1>
<ships, 1>
<bound, 2>
<India, 1>
<laughed, 3>
<relieved, 1>
<evidently, 1>
<hussy, 1>
<respect, 1>
<torments, 1>
<pinching, 1>
<cheeks, 2>
<humoredly, 1>
<Go, 2>
<advise, 1>
<tragedy, 1>
<airs, 1>
<grandfather, 2>
<badly, 1>
<pathetic, 1>
<failed, 1>
<thank, 3>
<suppose, 1>
<dickens, 1>
<expect, 1>
<testiness, 1>
<says, 2>
<talks, 2>
<goes, 2>
<absurd, 2>
<A, 5>
<formal, 1>
<foolish, 3>
<amiable, 1>
<Try, 1>
<teach, 2>
<duty, 1>
<slowly, 1>
<puss, 1>
<managed, 1>
<Beth, 18>
<terms, 1>
<offering, 3>
<insult, 1>
<dropped, 1>
<bald, 1>
<advising, 1>
<keyhole, 1>
<submissive, 1>
<decorous, 1>
<agreeable, 1>
<impossibilities, 1>
<Finding, 1>
<its, 1>
<quietly, 4>
<slid, 1>
<banisters, 1>
<waited, 2>
<virtuous, 1>
<countenance, 1>
<Did, 2>
<blown, 2>
<laughing, 2>
<Ah, 1>
<Even, 1>
<cast, 2>
<deuce, 1>
<apologetically, 1>
<new, 4>
<leaf, 1>
<turning, 1>
<leaves, 1>
<spoiling, 1>
<used, 3>
<copybooks, 1>
<beginnings, 1>
<dolefully, 1>
<Men, 1>
<croak, 1>
<hungry, 1>
<whisked, 2>
<front, 1>
<label, 1>
<sect, 1>
<quoting, 1>
<partake, 1>
<pie, 1>
<dutifully, 1>
<saintly, 1>
<overwhelmingly, 1>
<manner, 2>
<Everyone, 2>
<ended, 1>
<cloud, 1>
<forgot, 2>
<alluded, 1>
<certain, 2>
<person, 2>
<deal, 1>
<dreamed, 1>
<dreams, 1>
<rummaging, 1>
<desk, 1>
<stamps, 1>
<scribbled, 1>
<whereat, 1>
<groaned, 1>
<tragically, 1>
<fire, 4>
<feeling, 2>
<hastened, 1>
<evil, 1>
<TWO, 1>
<PLEASANT, 1>
<MEADOWS, 1>
<Like, 2>
<sunshine, 1>
<storm, 1>
<peaceful, 1>
<weeks, 1>
<followed, 4>
<invalids, 2>
<improved, 1>
<rapidly, 1>
<early, 2>
<year, 5>
<lie, 1>
<sofa, 2>
<amusing, 1>
<beloved, 1>
<doll, 1>
<fallen, 1>
<sadly, 1>
<active, 1>
<limbs, 2>
<stiff, 2>
<feeble, 2>
<took, 4>
<airing, 2>
<strong, 2>
<arms, 4>
<cheerfully, 2>
<blackened, 1>
<burned, 1>
<white, 3>
<cooking, 1>
<delicate, 1>
<messes, 1>
<loyal, 1>
<slave, 1>
<ring, 4>
<celebrated, 1>
<giving, 3>
<treasures, 1>
<prevail, 1>
<sisters, 1>
<Christmas, 8>
<approached, 1>
<usual, 2>
<mysteries, 1>
<haunt, 1>
<frequently, 1>
<convulsed, 1>
<proposing, 1>
<utterly, 1>
<magnificently, 1>
<ceremonies, 1>
<honor, 1>
<unusually, 4>
<merry, 2>
<equally, 1>
<impracticable, 1>
<bonfires, 1>
<skyrockets, 1>
<triumphal, 1>
<arches, 1>
<skirmishes, 1>
<snubbings, 1>
<pair, 1>
<considered, 1>
<effectually, 1>
<quenched, 1>
<forlorn, 1>
<faces, 2>
<belied, 1>
<explosions, 1>
<laughter, 1>
<Several, 1>
<weather, 2>
<fitly, 1>
<ushered, 1>
<Day, 1>
<Hannah, 5>
<bones, 1>
<fine, 2>
<proved, 1>
<prophetess, 1>
<everybody, 3>
<produce, 1>
<grand, 1>
<success, 2>
<uncommonly, 1>
<morning, 1>
<dressed, 1>
<gift, 1>
<soft, 1>
<crimson, 1>
<merino, 1>
<wrapper, 2>
<borne, 1>
<high, 1>
<triumph, 1>
<behold, 2>
<Unquenchables, 1>
<worthy, 1>
<elves, 1>
<worked, 1>
<conjured, 1>
<comical, 1>
<garden, 1>
<stately, 1>
<snow, 3>
<maiden, 1>
<crowned, 1>
<holly, 1>
<basket, 1>
<fruit, 3>
<flowers, 2>
<roll, 1>
<music, 3>
<perfect, 1>
<rainbow, 1>
<Afghan, 1>
<chilly, 1>
<shoulders, 1>
<carol, 1>
<issuing, 1>
<lips, 1>
<pink, 1>
<streamer, 1>
<THE, 2>
<JUNGFRAU, 1>
<TO, 1>
<BETH, 1>
<God, 3>
<bless, 1>
<Queen, 1>
<Bess, 1>
<May, 1>
<dismay, 1>
<health, 1>
<Be, 1>
<feed, 1>
<busy, 2>
<bee, 1>
<nose, 1>
<pianee, 1>
<An, 1>
<afghan, 1>
<toes, 1>
<portrait, 1>
<Joanna, 1>
<By, 1>
<Raphael, 1>
<laboured, 1>
<industry, 1>
<fair, 3>
<Accept, 2>
<ribbon, 1>
<Madam, 1>
<Purrer, 1>
<tail, 1>
<ice, 1>
<cream, 1>
<lovely, 2>
<Peg, 1>
<Mont, 1>
<Blanc, 1>
<pail, 1>
<Their, 1>
<dearest, 1>
<makers, 1>
<laid, 1>
<Within, 1>
<breast, 3>
<Alpine, 1>
<maid, 1>
<From, 1>
<gifts, 1>
<ridiculous, 1>
<presented, 1>
<full, 3>
<drop, 3>
<sighing, 1>
<contentment, 1>
<carried, 1>
<excitement, 2>
<refresh, 1>
<delicious, 1>
<grapes, 1>
<Jungfrau, 1>
<slapping, 1>
<wherein, 1>
<reposed, 1>
<desired, 1>
<Undine, 1>
<Sintram, 1>
<echoed, 1>
<poring, 1>
<engraved, 1>
<copy, 1>
<Madonna, 1>
<Child, 1>
<given, 2>
<frame, 1>
<Of, 2>
<silvery, 1>
<folds, 1>
<silk, 1>
<dress, 1>
<insisted, 1>
<otherwise, 1>
<husband, 2>
<caressed, 1>
<brooch, 1>
<gray, 1>
<golden, 1>
<chestnut, 1>
<fastened, 1>
<workaday, 1>
<world, 1>
<happen, 2>
<delightful, 1>
<storybook, 1>
<fashion, 1>
<Half, 1>
<opened, 2>
<popped, 1>
<somersault, 1>
<uttered, 1>
<Indian, 1>
<war, 1>
<whoop, 1>
<suppressed, 1>
<treacherously, 1>
<joyful, 1>
<jumped, 1>
<queer, 3>
<breathless, 1>
<Before, 1>
<mouth, 2>
<appeared, 2>
<muffled, 1>
<leaning, 1>
<general, 1>
<stampede, 1>
<minutes, 1>
<lose, 1>
<strangest, 1>
<became, 1>
<invisible, 1>
<embrace, 1>
<four, 2>
<pairs, 1>
<disgraced, 1>
<nearly, 2>
<fainting, 1>
<doctored, 1>
<china, 1>
<closet, 1>
<kissed, 1>
<somewhat, 1>
<incoherently, 1>
<explained, 1>
<stool, 1>
<stopping, 1>
<hugged, 1>
<boots, 2>
<touching, 1>
<warning, 1>
<Remember, 1>
<late, 1>
<threshold, 1>
<joy, 1>
<strength, 1>
<straight, 4>
<Never, 1>
<overflowed, 1>
<washing, 1>
<bitterness, 1>
<discovered, 1>
<sobbing, 1>
<fat, 2>
<turkey, 3>
<rushed, 1>
<kitchen, 1>
<subsided, 1>
<faithful, 1>
<needed, 3>
<seizing, 1>
<precipitately, 1>
<retired, 1>
<ordered, 1>
<repose, 1>
<chair, 3>
<allowed, 1>
<doctor, 1>
<advantage, 1>
<estimable, 2>
<upright, 1>
<paused, 1>
<violently, 1>
<poking, 1>
<wife, 1>
<inquiring, 1>
<imagine, 1>
<Also, 1>
<nodded, 1>
<understood, 1>
<stalked, 1>
<grimly, 1>
<wine, 1>
