<e, 1>
<troubles, 5>
<grand, 2>
<mountains, 1>
<benignly, 1>
<saying, 3>
<Little, 1>
<children, 9>
<another, 16>
<spite, 1>
<bear, 6>
<disturb, 1>
<word, 8>
<recover, 1>
<cure, 1>
<first, 15>
<firmly, 1>
<believed, 1>
<consoled, 1>
<seeming, 1>
<disloyalty, 1>
<almost, 2>
<self, 6>
<conviction, 1>
<other, 10>
<His, 2>
<wooing, 2>
<tempestuous, 1>
<order, 1>
<vista, 1>
<years, 7>
<feeling, 6>
<compassion, 2>
<blended, 1>
<regret, 2>
<ashamed, 2>
<bitter, 4>
<experiences, 1>
<grateful, 2>
<second, 2>
<resolved, 1>
<calm, 1>
<simple, 3>
<possible, 1>
<There, 6>
<having, 2>
<scene, 1>
<hardly, 1>
<loved, 6>
<without, 5>
<ago, 4>
<complain, 1>
<everybody, 1>
<pleased, 2>
<our, 8>
<passion, 2>
<crushed, 1>
<we, 37>
<apt, 1>
<wary, 1>
<slow, 1>
<making, 4>
<trial, 1>
<pass, 2>
<leaving, 1>
<chance, 1>
<utterance, 1>
<end, 4>
<sweetest, 2>
<part, 5>
<romance, 2>
<rather, 5>
<imagined, 1>
<denoument, 1>
<moonlight, 1>
<graceful, 2>
<decorous, 1>
<exactly, 2>
<reverse, 1>
<matter, 3>
<noonday, 1>
<few, 3>
<blunt, 1>
<floating, 1>
<morning, 1>
<gloomy, 2>
<St, 2>
<Gingolf, 1>
<Montreux, 1>
<Alps, 1>
<Savoy, 1>
<Mont, 1>
<Bernard, 1>
<Dent, 1>
<du, 1>
<Midi, 1>
<pretty, 3>
<valley, 1>
<Lausanne, 1>
<hill, 2>
<cloudless, 1>
<blue, 1>
<sky, 1>
<bluer, 1>
<dotted, 1>
<picturesque, 1>
<boats, 1>
<white, 2>
<winged, 1>
<gulls, 1>
<talking, 1>
<Bonnivard, 1>
<glided, 1>
<Chillon, 1>
<Rousseau, 1>
<Clarens, 1>
<wrote, 6>
<Heloise, 1>
<Neither, 1>
<story, 5>
<each, 8>
<privately, 1>
<wondered, 1>
<interesting, 1>
<dabbling, 1>
<during, 2>
<fell, 3>
<between, 3>
<oars, 2>
<expression, 2>
<hastily, 2>
<merely, 1>
<sake, 1>
<must, 6>
<tired, 4>
<Rest, 1>
<row, 2>
<will, 19>
<lazy, 1>
<luxurious, 1>
<may, 8>
<oar, 2>
<room, 2>
<enough, 3>
<though, 5>
<nearly, 3>
<else, 2>
<trim, 1>
<returned, 5>
<arrangement, 3>
<Feeling, 2>
<mended, 1>
<matters, 1>
<offered, 2>
<third, 1>
<shook, 1>
<accepted, 1>
<rowed, 1>
<things, 6>
<kept, 3>
<smoothly, 1>
<How, 8>
<pull, 5>
<objected, 1>
<So, 7>
<Will, 4>
<tenderly, 2>
<Yes, 5>
<Then, 3>
<stopped, 2>
<rowing, 1>
<unconsciously, 1>
<added, 1>
<tableau, 1>
<human, 4>
<happiness, 4>
<dissolving, 1>
<reflected, 1>
<CHAPTER, 2>
<FORTY, 2>
<TWO, 1>
<ALL, 1>
<ALONE, 1>
<easy, 2>
<abnegation, 1>
<wrapped, 1>
<purified, 1>
<helpful, 1>
<daily, 1>
<lesson, 2>
<beloved, 1>
<presence, 1>
<remained, 1>
<grief, 3>
<hard, 6>
<Father, 6>
<Mother, 9>
<ached, 1>
<ceaseless, 1>
<how, 22>
<house, 3>
<its, 6>
<warmth, 1>
<deserted, 1>
<useful, 2>
<loving, 3>
<service, 1>
<reward, 4>
<tried, 10>
<blind, 1>
<hopeless, 1>
<secretly, 2>
<rebelling, 1>
<against, 2>
<unjust, 1>
<joys, 1>
<lessened, 1>
<burdens, 1>
<heavier, 1>
<harder, 3>
<toiled, 1>
<Some, 1>
<people, 4>
<fair, 1>
<got, 10>
<disappointment, 1>
<spending, 2>
<quiet, 2>
<devoted, 1>
<humdrum, 1>
<cares, 2>
<small, 4>
<pleasures, 1>
<easier, 3>
<wasn, 4>
<meant, 2>
<shall, 9>
<break, 1>
<desperate, 1>
<somebody, 1>
<doesn, 2>
<efforts, 2>
<failed, 1>
<miserable, 1>
<state, 1>
<mind, 8>
<comes, 4>
<wills, 1>
<yield, 1>
<inevitable, 1>
<someone, 3>
<recognize, 1>
<angels, 2>
<because, 8>
<shapes, 1>
<spells, 1>
<best, 10>
<fitted, 1>
<poor, 3>
<humanity, 1>
<Often, 1>
<started, 1>
<night, 2>
<called, 5>
<empty, 3>
<bed, 1>
<unsubmissive, 1>
<Come, 1>
<stretch, 1>
<yearning, 1>
<arms, 3>
<quick, 2>
<sobbing, 1>
<faintest, 1>
<whisper, 2>
<mother, 8>
<patient, 5>
<tenderness, 2>
<soothes, 1>
<touch, 1>
<mute, 1>
<reminders, 1>
<greater, 1>
<broken, 1>
<whispers, 1>
<eloquent, 1>
<prayers, 1>
<hopeful, 1>
<resignation, 1>
<natural, 4>
<Sacred, 1>
<moments, 1>
<turning, 1>
<affliction, 1>
<blessing, 1>
<chastened, 1>
<strengthened, 1>
<grew, 1>
<sweeter, 1>
<endurable, 1>
<shelter, 1>
<When, 3>
<aching, 1>
<comforted, 1>
<troubled, 1>
<likewise, 1>
<study, 2>
<gray, 2>
<lifted, 1>
<welcome, 2>
<tranquil, 1>
<humbly, 1>
<wrong, 2>
<My, 5>
<answered, 3>
<falter, 1>
<round, 3>
<ask, 2>
<chair, 1>
<close, 1>
<told, 4>
<resentful, 1>
<fruitless, 1>
<discouraged, 1>
<faith, 2>
<bewilderment, 1>
<call, 3>
<entire, 1>
<confidence, 2>
<consolation, 1>
<act, 1>
<father, 3>
<daughter, 2>
<able, 1>
<serve, 2>
<mutual, 2>
<sympathy, 1>
<Happy, 1>
<thoughtful, 3>
<times, 3>
<church, 1>
<member, 1>
<courage, 1>
<cheerfulness, 1>
<submissive, 1>
<spirit, 5>
<parents, 1>
<taught, 2>
