<deliberately, 1>
<prinked, 1>
<Time, 1>
<done, 3>
<work, 5>
<people, 2>
<seen, 3>
<friend, 6>
<light, 6>
<handsome, 3>
<agreeable, 4>
<conscious, 1>
<desire, 4>
<favor, 1>
<knew, 4>
<points, 2>
<most, 15>
<taste, 3>
<skill, 1>
<fortune, 1>
<poor, 7>
<Tarlatan, 1>
<tulle, 2>
<cheap, 2>
<Nice, 6>
<enveloped, 1>
<such, 7>
<following, 1>
<sensible, 3>
<fashion, 3>
<simple, 1>
<girls, 9>
<got, 6>
<toilettes, 1>
<trinkets, 2>
<dainty, 1>
<devices, 1>
<inexpensive, 1>
<effective, 2>
<confessed, 1>
<artist, 1>
<possession, 3>
<indulged, 1>
<antique, 1>
<coiffures, 1>
<statuesque, 1>
<attitudes, 1>
<classic, 1>
<draperies, 1>
<weaknesses, 1>
<pardon, 2>
<comeliness, 1>
<hearts, 2>
<artless, 1>
<vanities, 1>
<want, 7>
<silk, 1>
<covered, 3>
<cloud, 1>
<illusion, 2>
<emerged, 1>
<artistic, 1>
<effect, 4>
<Her, 3>
<let, 10>
<gathering, 2>
<thick, 1>
<waves, 1>
<curls, 1>
<into, 11>
<Hebe, 1>
<knot, 1>
<becoming, 1>
<afford, 1>
<make, 6>
<fright, 1>
<myself, 4>
<advised, 1>
<frizzle, 1>
<puff, 1>
<braid, 1>
<style, 4>
<commanded, 1>
<Having, 1>
<ornaments, 1>
<fine, 1>
<important, 1>
<occasion, 1>
<looped, 1>
<fleecy, 1>
<skirts, 2>
<rosy, 1>
<clusters, 1>
<azalea, 1>
<framed, 1>
<delicate, 2>
<vines, 1>
<Remembering, 1>
<painted, 1>
<boots, 2>
<surveyed, 1>
<satin, 2>
<slippers, 3>
<girlish, 2>
<chasseed, 1>
<room, 5>
<aristocratic, 1>
<My, 5>
<fan, 1>
<matches, 1>
<fit, 1>
<charm, 4>
<real, 2>
<lace, 3>
<mouchoir, 1>
<gives, 2>
<classical, 1>
<nose, 1>
<perfectly, 3>
<surveying, 1>
<critical, 1>
<eye, 1>
<candle, 1>
<In, 4>
<affliction, 2>
<unusually, 3>
<glided, 1>
<seldom, 2>
<ran, 4>
<being, 5>
<stately, 1>
<Junoesque, 1>
<appropriate, 1>
<sportive, 1>
<piquante, 2>
<long, 10>
<saloon, 1>
<once, 4>
<arranged, 2>
<chandelier, 1>
<better, 8>
<went, 9>
<other, 10>
<end, 4>
<ashamed, 1>
<propitious, 2>
<happened, 1>
<thing, 6>
<quietly, 3>
<hear, 1>
<distant, 1>
<window, 2>
<half, 7>
<slender, 1>
<against, 4>
<red, 2>
<curtains, 1>
<placed, 1>
<statue, 1>
<Good, 3>
<Diana, 1>
<liked, 4>
<rested, 1>
<Apollo, 1>
<smiling, 4>
<too, 10>
<debonair, 1>
<entering, 1>
<ballroom, 2>
<arm, 4>
<personable, 1>
<pity, 2>
<four, 1>
<plain, 3>
<Misses, 1>
<Davis, 2>
<bottom, 2>
<Here, 1>
<remembering, 1>
<Hannah, 4>
<calls, 1>
<sot, 1>
<bookay, 1>
<handing, 1>
<nosegay, 1>
<holder, 1>
<coveted, 2>
<daily, 2>
<passed, 3>
<Cardiglia, 1>
<kind, 4>
<exclaimed, 1>
<gratefully, 2>
<known, 2>
<coming, 2>
<today, 1>
<afraid, 4>
<snapped, 1>
<silver, 1>
<bracelet, 1>
<wrist, 1>
<Please, 2>
<Not, 4>
<doesn, 4>
<sound, 1>
<bluntness, 1>
<relief, 3>
<buttoned, 1>
<tie, 2>
<straight, 1>
<parties, 1>
<together, 5>
<assembled, 1>
<salle, 1>
<manger, 1>
<sees, 1>
<nowhere, 1>
<hospitable, 1>
<invited, 1>
<every, 4>
<acquaintance, 1>
<prejudice, 2>
<titles, 1>
<secured, 1>
<add, 1>
<luster, 1>
<Russian, 1>
<prince, 1>
<condescended, 1>
<sit, 3>
<corner, 1>
<massive, 1>
<Hamlet, 1>
<mother, 9>
<pearl, 1>
<bridle, 1>
<chin, 4>
<Polish, 1>
<count, 1>
<aged, 1>
<eighteen, 1>
<devoted, 4>
<himself, 11>
<pronounced, 1>
<fascinating, 1>
<German, 1>
<Serene, 1>
<Something, 1>
<supper, 7>
<roamed, 1>
<vaguely, 1>
<seeking, 1>
<might, 5>
<devour, 1>
<Baron, 1>
<Rothschild, 1>
<private, 1>
<secretary, 2>
<large, 1>
<nosed, 1>
<Jew, 1>
<tight, 2>
<affably, 1>
<beamed, 2>
<master, 1>
<name, 4>
<crowned, 1>
<halo, 1>
<stout, 2>
<Frenchman, 1>
<Emperor, 2>
<indulge, 1>
<mania, 1>
<dancing, 2>
<Lady, 1>
<de, 1>
<Jones, 1>
<British, 1>
<matron, 1>
<adorned, 1>
<family, 5>
<eight, 1>
<Of, 3>
<footed, 1>
<shrill, 1>
<voiced, 1>
<lifeless, 1>
<ditto, 2>
<demoiselles, 1>
<likewise, 1>
<usual, 2>
<set, 6>
<traveling, 1>
<gentlemen, 1>
<disported, 1>
<gaily, 2>
<mammas, 1>
<nations, 1>
<lined, 1>
<walls, 1>
<benignly, 1>
<danced, 6>
<daughters, 2>
<Any, 1>
<imagine, 1>
<state, 3>
<stage, 1>
<loved, 2>
<dance, 5>
<foot, 1>
<heath, 1>
<enjoyed, 4>
<delightful, 4>
<power, 1>
<comes, 1>
<discover, 2>
<kingdom, 2>
<born, 1>
<rule, 2>
<virtue, 1>
<beauty, 2>
<youth, 1>
<womanhood, 1>
<awkward, 1>
<destitute, 1>
<escort, 1>
<grim, 1>
<papa, 1>
<three, 3>
<grimmer, 1>
<maiden, 1>
<aunts, 1>
<bowed, 1>
<friendliest, 1>
<permitted, 1>
<burn, 1>
<distinguished, 2>
<With, 1>
<burst, 1>
<began, 3>
<sparkle, 1>
<tap, 1>
<floor, 2>
<impatiently, 2>
<wanted, 3>
<Therefore, 1>
<shock, 1>
<received, 1>
<imagined, 1>
<described, 1>
<tranquil, 1>
<care, 5>
<One, 1>
<usually, 3>
<does, 5>
<amazed, 1>
<answer, 2>
<repair, 1>
<error, 1>
<fast, 2>
<possible, 2>
<meant, 2>
<May, 2>
<off, 5>
<Count, 2>
<dances, 2>
<divinely, 2>
<excuse, 1>
<hoping, 2>
<show, 4>
<trifled, 1>
<rather, 9>
<short, 3>
<Pole, 2>
<support, 2>
<gods, 1>
<Devinely, 1>
<fair, 5>
<however, 6>
<composed, 2>
<compelled, 1>
<decorously, 1>
<through, 5>
<cotillion, 1>
<tarantella, 1>
<relish, 1>
<resigned, 1>
<nice, 4>
<duty, 3>
<securing, 1>
<joys, 2>
<reprehensible, 1>
<forethought, 1>
<properly, 2>
<punished, 1>
<immediately, 1>
<engaged, 1>
<till, 11>
<meaning, 1>
<relent, 1>
<gave, 4>
<signs, 3>
<penitence, 1>
<book, 2>
<demure, 1>
<instead, 2>
<rushed, 1>
<claim, 1>
<next, 2>
<glorious, 1>
<polka, 1>
<redowa, 1>
<polite, 1>
<regrets, 1>
<impose, 1>
<galloped, 1>
<aunt, 1>
<actual, 1>
<unpardonable, 1>
<word, 6>
<chaperon, 1>
<necessary, 1>
<pin, 1>
<rest, 9>
<anger, 1>
<hid, 1>
<blithe, 1>
<followed, 2>
<neither, 1>
<romped, 1>
<sauntered, 1>
<spirit, 4>
<grace, 1>
<making, 3>
<delightsome, 1>
<pastime, 1>
<naturally, 3>
<fell, 3>
<studying, 1>
<point, 2>
<before, 5>
<decided, 4>
<soon, 10>
<social, 2>
<season, 2>
<everyone, 4>
<merriment, 1>
<shine, 1>
<heels, 1>
<musicians, 1>
<fiddled, 1>
<tooted, 1>
<banged, 1>
<everybody, 2>
<those, 1>
<admired, 2>
<neighbors, 1>
<uncommon, 1>
<warmth, 1>
<dark, 2>
<Davises, 1>
<Joneses, 1>
<gamboled, 1>
<giraffes, 1>
<darted, 1>
<meteor, 1>
<carpeted, 1>
<pink, 1>
<train, 2>
<serene, 1>
<Teuton, 1>
<table, 3>
<eating, 1>
<steadily, 1>
<bill, 1>
<fare, 1>
<dismayed, 1>
<garcons, 1>
<ravages, 1>
<committed, 1>
<glory, 1>
<everything, 5>
<introduced, 1>
<impromptu, 1>
<pirouettes, 1>
<figures, 1>
<bewildered, 2>
<boyish, 1>
<abandon, 1>
<behold, 1>
<weight, 1>
<India, 1>
<rubber, 1>
<flew, 2>
<pranced, 2>
<glowed, 1>
<bald, 1>
<shown, 1>
<coattails, 1>
<wildly, 1>
<pumps, 1>
<actually, 2>
<twinkled, 1>
<music, 3>
<stopped, 1>
<wiped, 1>
<drops, 1>
<brow, 1>
<fellow, 1>
<men, 2>
<Pickwick, 1>
<glasses, 1>
<equal, 1>
<agility, 1>
<involuntarily, 1>
<keeping, 1>
<rhythmic, 1>
<rise, 2>
<fall, 2>
<indefatigably, 1>
<winged, 1>
<Vladimir, 1>
<finally, 1>
<relinquished, 2>
<assurances, 1>
<desolated, 1>
<leave, 4>
<early, 4>
<how, 12>
<recreant, 1>
<knight, 1>
<borne, 2>
<punishment, 1>
<successful, 2>
<twenty, 1>
<blighted, 1>
<affections, 1>
<balm, 1>
<friendly, 1>
<society, 5>
<nerves, 2>
<thrill, 1>
<blood, 1>
<healthy, 1>
<subjected, 1>
<enchantment, 1>
<motion, 1>
<waked, 1>
<seat, 1>
<bring, 1>
<satisfied, 2>
<Ah, 1>
<Balzac, 1>
<Femme, 1>
<Peinte, 1>
<Par, 1>
<Elle, 1>
<Meme, 1>
<fanned, 1>
<coffee, 2>
<cup, 2>
<rouge, 1>
<won, 10>
<rubbed, 1>
<cheek, 1>
<glove, 1>
<simplicity, 1>
<laugh, 1>
<outright, 1>
<stuff, 1>
<touching, 1>
<fold, 1>
<blown, 1>
<knee, 2>
<Illusion, 1>
<dozens, 1>
<stupide, 1>
<accounts, 1>
<mistake, 4>
<None, 1>
<forbidden, 2>
<take, 6>
<compliments, 1>
<No, 10>
<lounge, 1>
<makes, 3>
<nervous, 5>
<sat, 2>
<bold, 1>
<upright, 1>
<meekly, 1>
<empty, 2>
<plate, 1>
<odd, 1>
<order, 4>
<lost, 1>
<irrestible, 1>
<trample, 1>
<lords, 1>
<creation, 1>
<subjection, 1>
<quizzical, 1>
<vague, 1>
<kindly, 2>
<explain, 1>
<returned, 3>
<knowing, 3>
<wickedly, 1>
<leaving, 3>
<describe, 1>
<Well, 6>
<general, 1>
<breaking, 1>
<helping, 2>
<quandary, 1>
<gratified, 1>
<demurely, 1>
<Foreign, 1>
<polishes, 1>
<study, 1>
<play, 1>
<gesture, 1>
<why, 4>
<posies, 1>
<things, 7>
<regretted, 2>
<sentence, 1>
<fearing, 1>
<wasn, 2>
<respecting, 1>
<brave, 1>
<patience, 2>
<opportunity, 1>
<cheerful, 3>
<poverty, 2>
<filled, 1>
<impulse, 1>
<change, 5>
<impressions, 1>
<unconsciously, 1>
<receiving, 1>
<CHAPTER, 2>
<THIRTY, 2>
<EIGHT, 1>
<ON, 1>
<THE, 1>
<SHELF, 1>
<France, 1>
<dull, 2>
<married, 5>
<Vive, 1>
<la, 1>
<liberte, 1>
<becomes, 1>
<motto, 1>
<America, 1>
<knows, 1>
<sign, 1>
<declaration, 1>
<independence, 1>
<enjoy, 3>
