<lake, 1>
<holiday, 1>
<walking, 1>
<trips, 1>
<Switzerland, 1>
<teachers, 2>
<Did, 4>
<Paris, 1>
<spent, 2>
<winter, 2>
<Can, 4>
<French, 2>
<allowed, 2>
<speak, 3>
<else, 1>
<Do, 2>
<some, 16>
<read, 15>
<pronounce, 1>
<Quel, 1>
<nom, 1>
<cette, 1>
<jeune, 1>
<demoiselle, 1>
<en, 1>
<les, 1>
<pantoufles, 1>
<jolis, 1>
<nicely, 4>
<Let, 1>
<Who, 1>
<Oui, 1>
<mademoiselle, 1>
<sister, 7>
<Margaret, 2>
<makes, 2>
<German, 2>
<looks, 5>
<fresh, 3>
<quiet, 10>
<dances, 1>
<glowed, 1>
<boyish, 1>
<praise, 1>
<stored, 1>
<repeat, 1>
<Both, 2>
<peeped, 1>
<criticized, 1>
<acquaintances, 1>
<bashfulness, 2>
<off, 9>
<demeanor, 1>
<amused, 2>
<merry, 2>
<self, 1>
<forgotten, 2>
<nobody, 2>
<lifted, 1>
<liked, 10>
<better, 3>
<than, 13>
<ever, 13>
<took, 12>
<several, 1>
<might, 7>
<no, 25>
<brothers, 2>
<few, 2>
<male, 1>
<cousins, 1>
<almost, 1>
<unknown, 2>
<creatures, 1>
<Curly, 1>
<brown, 3>
<skin, 1>
<handsome, 3>
<nose, 6>
<teeth, 1>
<small, 3>
<feet, 3>
<taller, 1>
<altogether, 2>
<jolly, 4>
<Wonder, 1>
<tip, 1>
<tongue, 2>
<checked, 1>
<unusual, 1>
<tact, 1>
<tried, 7>
<find, 5>
<round, 3>
<college, 2>
<pegging, 2>
<books, 9>
<mean, 3>
<studying, 1>
<hard, 5>
<blushed, 1>
<escaped, 1>
<smiled, 3>
<shocked, 1>
<answered, 11>
<shrug, 1>
<year, 1>
<won, 4>
<seventeen, 2>
<anyway, 1>
<Aren, 1>
<fifteen, 2>
<tall, 2>
<lad, 1>
<whom, 1>
<imagined, 1>
<already, 3>
<Sixteen, 1>
<next, 1>
