<mention, 1>
<more, 21>
<sister, 10>
<As, 7>
<Go, 2>
<away, 9>
<Teddy, 2>
<busy, 3>
<spoke, 8>
<not, 47>
<natural, 2>
<shade, 3>
<face, 18>
<utterance, 1>
<familiar, 1>
<touched, 3>
<wound, 2>
<healed, 1>
<yet, 4>
<Both, 1>
<shadow, 4>
<struck, 1>
<seen, 1>
<before, 8>
<time, 17>
<catch, 1>
<new, 10>
<pain, 7>
<dissatisfaction, 1>
<regret, 2>
<gone, 5>
<could, 16>
<study, 1>
<listless, 2>
<back, 12>
<watched, 1>
<artistic, 1>
<how, 4>
<basking, 1>
<sun, 3>
<uncovered, 1>
<southern, 1>
<dreaminess, 1>
<seemed, 7>
<forgotten, 2>
<fallen, 2>
<reverie, 1>
<effigy, 1>
<knight, 1>
<tomb, 1>
<carefully, 4>
<tracing, 1>
<profile, 1>
<defined, 1>
<dark, 2>
<Wish, 1>
<That, 13>
<foolish, 3>
<unless, 1>
<spoiled, 3>
<changed, 2>
<sometimes, 1>
<stopped, 2>
<timid, 1>
<wistful, 2>
<significant, 1>
<unfinished, 3>
<understood, 1>
<affectionate, 1>
<anxiety, 1>
<hesitated, 1>
<express, 1>
<straight, 2>
<used, 4>
<mother, 4>
<right, 6>
<ma, 1>
<am, 3>
<satisfied, 3>
<set, 4>
<doubts, 1>
<begun, 1>
<worry, 1>
<lately, 2>
<showed, 1>
<cordial, 1>
<glad, 7>
<didn, 8>
<been, 17>
<very, 14>
<fancied, 5>
<wasted, 2>
<money, 8>
<wicked, 2>
<Baden, 2>
<lost, 4>
<heart, 12>
<some, 11>
<charming, 4>
<Frenchwoman, 1>
<husband, 2>
<scrapes, 1>
<seem, 1>
<consider, 1>
<necessary, 1>
<foreign, 2>
<tour, 1>
<lie, 2>
<here, 5>
<us, 7>
<be, 51>
<friendly, 2>
<we, 14>
<sofa, 2>
<corner, 2>
<told, 4>
<secrets, 2>
<obediently, 1>
<threw, 1>
<turf, 1>
<amuse, 2>
<sticking, 1>
<daisies, 1>
<ribbons, 3>
<ready, 5>
<glanced, 4>
<decided, 3>
<interest, 1>
<ve, 5>
<none, 2>
<tell, 4>
<may, 8>
<begin, 3>
<Haven, 1>
<bless, 1>
<myself, 1>
<perhaps, 4>
<news, 1>
<has, 8>
<hear, 4>
<send, 1>
<volumes, 1>
<roving, 1>
<impossible, 4>
<When, 4>
<art, 1>
<Raphaella, 1>
<changing, 2>
<subject, 1>
<abruptly, 1>
<another, 6>
<pause, 1>
<wondering, 1>
<knew, 6>
<secret, 3>
<wanted, 4>
<talk, 3>
<Never, 1>
<despondent, 2>
<Rome, 2>
<vanity, 2>
<seeing, 3>
<wonders, 1>
<insignificant, 1>
<live, 2>
<hopes, 4>
<despair, 2>
<Why, 4>
<much, 11>
<energy, 4>
<talent, 3>
<because, 2>
<genius, 4>
<amount, 1>
<make, 18>
<want, 4>
<won, 9>
<place, 3>
<dauber, 1>
<try, 6>
<any, 15>
<And, 6>
<ask, 5>
<Polish, 1>
<other, 8>
<talents, 1>
<ornament, 2>
<society, 3>
<get, 3>
<chance, 2>
<characteristic, 1>
<sounded, 2>
<daring, 1>
<audacity, 1>
<becomes, 2>
<people, 6>
<ambition, 2>
<foundation, 1>
<smiled, 4>
<liked, 4>
<spirit, 7>
<purpose, 3>
<cherished, 2>
<died, 1>
<spent, 1>
<lamenting, 1>
<Good, 2>
<Fred, 6>
<Vaughn, 2>
<comes, 5>
<fancy, 1>
<preserved, 1>
<discreet, 1>
<silence, 2>
<conscious, 2>
<downcast, 1>
<sit, 1>
<gravely, 1>
<Now, 6>
<play, 1>
<brother, 2>
<questions, 1>
<May, 2>
<promise, 2>
<answer, 5>
<Your, 2>
<tongue, 2>
<aren, 1>
<world, 5>
<enough, 4>
<hide, 3>
<feelings, 1>
<dear, 8>
<rumors, 1>
<year, 3>
<private, 1>
<opinion, 2>
<called, 3>
<suddenly, 5>
<detained, 1>
<something, 11>
<hey, 1>
<grim, 2>
<reply, 1>
<lips, 3>
<traitorous, 1>
<sparkle, 2>
<eye, 4>
<betrayed, 1>
<power, 2>
<enjoyed, 2>
<knowledge, 1>
<engaged, 1>
<hope, 3>
<elder, 1>
<brotherly, 3>
<grave, 2>
<sudden, 2>
<goes, 2>
<properly, 1>
<knees, 1>
<likely, 2>
<fond, 5>
<tried, 11>
<till, 9>
<proper, 4>
<Bless, 2>
<soul, 6>
<unearthly, 1>
<prudence, 1>
<fellow, 7>
<man, 8>
<gentleman, 4>
<manners, 1>
<trying, 6>
<quite, 6>
<dignified, 1>
<feeling, 5>
<ashamed, 3>
<spite, 4>
<sincerity, 1>
<intentions, 1>
<understand, 3>
<Queens, 1>
<match, 1>
<start, 1>
<way, 9>
<Quite, 1>
<sounds, 1>
<odd, 1>
<girls, 2>
<True, 1>
<nevertheless, 2>
<A, 7>
<quiet, 2>
<decision, 2>
<uttered, 3>
